"","statistic","aad_v6","old_aad","difference"
"36","Muni_TotalArea_var",1271634629145.57,1136996261834.06,134638367311.511
"37","area_mn_farming_mean",0,22.9992545891445,-22.9992545891445
"38","area_mn_farming_var",0,2353.52788353299,-2353.52788353299
"39","area_mn_forest_mean",171.763116142658,176.146346977981,-4.38323083532339
"40","area_mn_forest_var",403559.250731414,1845258.83606903,-1441699.58533762
"41","area_mn_nonveg_mean",0,3.35714098067622,-3.35714098067622
"42","area_mn_nonveg_var",0,21.1630839019554,-21.1630839019554
"43","area_mn_wetland_mean",1.86361132049569,0.269074902545512,1.59453641795018
"44","area_mn_wetland_var",24.049214845764,0.513921607948499,23.5352932378155
"45","enn_mn_farming_mean",0,108.158352631636,-108.158352631636
"46","enn_mn_farming_var",0,205283.105760667,-205283.105760667
"47","enn_mn_forest_mean",162.706957783688,105.557876977572,57.1490808061162
"48","enn_mn_forest_var",417575.22895182,138814.869217536,278760.359734284
"49","enn_mn_nonveg_mean",0,280.841054720143,-280.841054720143
"50","enn_mn_nonveg_var",0,380130.353186204,-380130.353186204
"51","enn_mn_riverlakeocean_mean",631.334911513059,545.290871435196,86.0440400778622
"52","enn_mn_riverlakeocean_var",2967117.13748676,1251842.0306936,1715275.10679316
"53","enn_mn_wetland_mean",386.992420416775,45.1960841328823,341.796336283892
"54","enn_mn_wetland_var",581680.79678477,73870.1979063818,507810.598878388
"55","pland_farming_mean",0,23.7197768187649,-23.7197768187649
"56","pland_farming_var",0,589.21984753322,-589.21984753322
"57","pland_floodedforest_mean",1.04518024133274,0.436771299869659,0.608408941463078
"58","pland_floodedforest_var",35.4295084814831,16.0228969457065,19.4066115357766
"59","pland_nonveg_mean",0,3.35669758313803,-3.35669758313803
"60","pland_nonveg_var",0,62.3270420090418,-62.3270420090418
"61","pland_riverlakeocean_mean",1.86673105376791,1.8509276765146,0.0158033772533051
"62","pland_riverlakeocean_var",26.2329063990031,26.5219485349012,-0.289042135898111
"63","pland_wetland_mean",1.11810051759228,0.550138826263623,0.567961691328654
"64","pland_wetland_var",17.418009442152,4.97586681981914,12.4421426223328
"65","te_farming_mean",0,4565003.0591319,-4565003.0591319
"66","te_farming_var",0,47626319052316.5,-47626319052316.5
"67","te_forest_mean",5412936.90211301,6007054.5193123,-594117.617199291
"68","te_forest_var",71429791410622.3,93309921221391.6,-21880129810769.2
"69","te_nonveg_mean",0,428185.912034538,-428185.912034538
"70","te_nonveg_var",0,999742166294.575,-999742166294.575
"71","te_riverlakeocean_mean",825132.23987514,843903.011332973,-18770.7714578328
"72","te_riverlakeocean_var",6379946050896.58,6582250182736.85,-202304131840.264
"73","te_wetland_mean",1087441.50552265,217404.376300979,870037.129221672
"74","te_wetland_var",20210981325184.5,3682186084605.07,16528795240579.5
"75","Farming_Nonveg_mean",0,3330.81504895536,-3330.81504895536
"76","Farming_Nonveg_var",0,49222845.8325664,-49222845.8325664
"77","Farming_Riverlakeocean_mean",0,2057.92113175545,-2057.92113175545
"78","Farming_Riverlakeocean_var",0,32652013.0859503,-32652013.0859503
"79","Floodforest_Farming_mean",0,72.6790532726852,-72.6790532726852
"80","Floodforest_Farming_var",0,666564.78377077,-666564.78377077
"81","Floodforest_Nonveg_mean",0,1.13264204764475,-1.13264204764475
"82","Floodforest_Nonveg_var",0,201.510835307585,-201.510835307585
"83","Floodforest_Riverlakeocean_mean",1541.65739554986,56.5175776732711,1485.13981787659
"84","Floodforest_Riverlakeocean_var",104050735.205906,390105.103021648,103660630.102884
"85","Floodforest_Wetland_mean",2351.34044341284,2076.98323182484,274.357211587998
"86","Floodforest_Wetland_var",420306261.22387,561890634.170144,-141584372.946274
"87","Forest_Farming_mean",0,81903.9055200062,-81903.9055200062
"88","Forest_Farming_var",0,23188777376.5757,-23188777376.5757
"89","Forest_Floodforest_mean",11954.3893068673,3034.39561329119,8919.99369357611
"90","Forest_Floodforest_var",6680373913.83923,653489303.535593,6026884610.30364
"91","Forest_Nonveg_mean",0,2073.00578212937,-2073.00578212937
"92","Forest_Nonveg_var",0,244950251.572612,-244950251.572612
"93","Forest_Riverlakeocean_mean",12602.6541539939,19857.4189345463,-7254.76478055238
"94","Forest_Riverlakeocean_var",1857625274.9483,4119183132.97464,-2261557858.02633
"95","Forest_Savanna_mean",42819.674643829,55858.4109937553,-13038.7363499263
