,Locality,Latitude,Longitude
224,SHIPITIARI,,
225,10 DE JULIO,,
226,WIRACOCHA O VIRACOCHAPA,,
227,TARMA,,
228,LIMONCHAYOC,,
229,CACHUELA OVIEDO,-12.5044,-69.1597
230,SANGARI,,
231,TIPISHCA,-12.2466,-69.2689
232,ISLA DE LOS VALLES,-12.2644,-70.9105
233,ALTO CHORRILLOS,-12.5869,-69.291
234,QUILLABAMBA,,
235,GAMITANA,-12.8704,-71.3502
236,MICAELA BASTIDAS,-12.0035,-69.5397
237,MADAMA,-12.5333,-69.0816
238,IZUYANA,,
239,SANTA TERESA,-12.2296,-69.0629
240,TAHUANTINSUYO,,
241,MIRAFLORES,-11.4409,-69.4199
242,SAN FRANCISCO,-11.4133,-69.5659
243,SAN ISIDRO DE CHILINA,-11.1989,-69.5577
244,BAJO PUKIRI-DELTA 1,,
245,VIRGENES DEL SOL,-12.8242,-69.6625
246,NUEVO SAN JUAN,-12.6257,-70.2236
247,LOS CEDROS,-12.7482,-69.4649
248,MACHICHE,,
249,LOS MANANTIALES,-12.7628,-69.4799
250,SAN LORENZO,-11.4667,-69.3
251,SATIPO,,
252,POROMATE,,
253,ACAS,,
254,SANTA JULIA,-12.0364,-68.9442
255,BAJO HUAYNABE,,
256,CUSCO,,
257,IQUITOS,,
258,CHURUMAYO,,
259,LOROMAYO,,
260,TAMBOPATA,-12.716,-69.3123
261,JUNIN,,
262,INAMBARILLO,-12.7225,-69.7874
263,BRILLO NUEVO,,
264,PLANCHON,-12.28,-69.1524
265,PARIAMARCA,,
266,PARIAMANU,-12.4277,-69.2676
267,NUEVA ALIANZA,-11.35,-69.683
268,MALINOWSKY,,
269,LECHEMAYO GRANDE,,
270,LA PAMPA,,
271,CARMEN,-12.12,-69.193
272,SANDIA,,
273,LECHEMAYO CHICO,,
274,PUKIRI,-12.7239,-70.4676
275,TROMPETEROS,,
276,VICTOR RAUL HAYA DE LA TO,,
277,REQUENA,,
278,AMAYBAMBA,,
279,AYACUCHO,,
280,MOYOBAMBA,,
281,ALTO KORIBENI,,
282,BAJO MADRE DE DIOS IZQUIE,-12.6183,-69.1441
283,YANATILE,,
284,INTUTO,,
285,ZONA DE COLLIQUE,,
286,SAN FRANCISCO DE ASIS,-11.4133,-69.5659
287,KEPASHIATO,,
288,IBERIA,-11.35,-69.5833
289,ANANSAYOCC,,
290,PILLCOPATA,,
291,IVOCHOTE,,
292,SAN JOSE DE PARINARI,,
293,SAMARIA,,
294,SAN VICENTE DE CAÑETE,,
295,CASA HUIRI,,
296,SAN ALEJANDRO,,
297,PUNO,-13.0215,-70.5003
298,PAUCARTAMBO,,
299,SAN JUAN,-12.8296,-69.6637
300,AGUAYTIA,,
301,ACORA,,
302,MANCORA,,
303,SICUANI,,
304,KM. 02 CARRETERA IQUITOS-,,
305,LANLACUNI,,
306,PUTINA PUNCO,,
307,CHOSICA,,
308,POLVORA,,
309,PACCAYANI,,
310,PUENTE INAMBARI,-13.1865,-70.3871
311,CAPACHICA,,
312,CERES,,
313,PUCALLPA,,
314,OLLACHEA,,
315,TAHUANTINSUYO,,
