"","Locality","Place_Name","District","Admin_Name_3","Dist_Adm3","loc_pl","Latitude","Longitude","Accuracy","Admin_Name_1","Admin_Name_2","select_rank"
"68","BELLO HORIZONTE","BELLO HORIZONTE","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.4978,-69.1452,4,"""Madre De Dios""","""Tambopata""",1
"69","BELLO HORIZONTE","BELLO HORIZONTE","IBERIA","IBERIA",TRUE,TRUE,-11.3976,-69.4968,4,"""Madre De Dios""","""Tahuamanu""",1
"70","BOCA AMIGO","BOCA AMIGO","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.5906,-70.0562,3,"""Madre De Dios""","""Manu""",1
"71","BOCA COLORADO","BOCA COLORADO","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.6168,-70.3928,3,"""Madre De Dios""","""Manu""",1
"72","BOCA COLORADO","BOCA COLORADO","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.692,-70.3983,4,"""Madre De Dios""","""Manu""",1
"73","BOCA COLORADO","BOCA COLORADO","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.6168,-70.3928,3,"""Madre De Dios""","""Manu""",1
"74","BOCA COLORADO","BOCA COLORADO","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.692,-70.3983,3,"""Madre De Dios""","""Manu""",1
"75","BOCA MANU","BOCA MANU","FITZCARRALD","FITZCARRALD",TRUE,TRUE,-12.2643,-70.9109,3,"""Madre De Dios""","""Manu""",1
"76","BOCA PARIAMANU","BOCA PARIAMANU","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.4277,-69.2676,4,"""Madre De Dios""","""Tambopata""",1
"77","BOCA TOCABE","BOCA TOCABE","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.7999,-70.522,3,"""Madre De Dios""","""Manu""",1
"78","BOCA UNION","BOCA UNION","LABERINTO","LABERINTO",TRUE,TRUE,-12.7089,-69.6847,3,"""Madre De Dios""","""Tambopata""",1
"79","BONANZA","BONANZA","MANU","MANU",TRUE,TRUE,-12.5862,-71.2338,3,"""Madre De Dios""","""Manu""",1
"80","BOTIJON","BOTIJON","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.274,-69.0941,4,"""Madre De Dios""","""Tambopata""",1
"81","BUENA FORTUNA","BUENA FORTUNA","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-13.0002,-70.5571,3,"""Madre De Dios""","""Manu""",1
"82","CABO DE HORNOS 1","CABO DE HORNOS 1","MANU","MANU",TRUE,TRUE,-12.7741,-71.3264,3,"""Madre De Dios""","""Manu""",1
"83","CACHUELA MARGEN IZQUIERDA","CACHUELA MARGEN IZQUIERDA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.5107,-69.1617,4,"""Madre De Dios""","""Tambopata""",1
"84","CACHUELA OVIEDO","CACHUELA OVIEDO","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.5044,-69.1597,3,"""Madre De Dios""","""Tambopata""",1
"85","CAFETAL","CAFETAL","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-11.9716,-69.1349,3,"""Madre De Dios""","""Tambopata""",1
"86","CARACHAMAYO","CARACHAMAYO","IBERIA","IBERIA",TRUE,TRUE,-11.3056,-69.4862,4,"""Madre De Dios""","""Tahuamanu""",1
"87","CARMEN ROSA","CARMEN ROSA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.12,-69.193,4,"""Madre De Dios""","""Tambopata""",1
"88","CASA MACHIGUENGA","CASA MACHIGUENGA","FITZCARRALD","FITZCARRALD",TRUE,TRUE,-11.5912,-72.0871,3,"""Madre De Dios""","""Manu""",1
"89","CAYCHIHUE BARRACA","CAYCHIHUE BARRACA","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-13.0354,-70.4282,3,"""Madre De Dios""","""Manu""",1
"90","CAYCHIHUE BARRACA","CAYCHIHUE BARRACA","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-13.0354,-70.4282,4,"""Madre De Dios""","""Manu""",1
"91","CENTRO CACHUELA","CENTRO CACHUELA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.5371,-69.1696,4,"""Madre De Dios""","""Tambopata""",1
"92","CENTRO PASTORA","CENTRO PASTORA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6057,-69.2505,4,"""Madre De Dios""","""Tambopata""",1
"93","CHILINA VIEJA","CHILINA VIEJA","IBERIA","IBERIA",TRUE,TRUE,-11.2587,-69.592,3,"""Madre De Dios""","""Tahuamanu""",1
"94","CHONTA","CHONTA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6688,-69.2281,4,"""Madre De Dios""","""Tambopata""",1
"95","CHOQUE","CHOQUE","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-12.9817,-70.5916,3,"""Madre De Dios""","""Manu""",1
"96","CHORRERA","CHORRERA","LABERINTO","LABERINTO",TRUE,TRUE,-12.633,-69.4744,4,"""Madre De Dios""","""Tambopata""",1
"97","CHORRILLOS","CHORRILLOS","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.606,-69.2852,4,"""Madre De Dios""","""Tambopata""",1
"98","CINCO ISLAS","CINCO ISLAS","LABERINTO","LABERINTO",TRUE,TRUE,-12.6523,-69.9639,3,"""Madre De Dios""","""Tambopata""",1
"99","COLPAC","COLPAC","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-11.8961,-69.2487,4,"""Madre De Dios""","""Tambopata""",1
"100","COLPAYOC","COLPAYOC","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.3438,-69.2359,4,"""Madre De Dios""","""Tambopata""",1
"101","CONDENADO","CONDENADO","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.8638,-69.4106,4,"""Madre De Dios""","""Tambopata""",1
"102","DELTA 1","DELTA 1","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.7748,-70.5217,3,"""Madre De Dios""","""Manu""",1
"103","DELTA 2","DELTA 2","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.7989,-70.5275,3,"""Madre De Dios""","""Manu""",1
"104","DELTA 4","DELTA 4","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.7374,-70.5149,3,"""Madre De Dios""","""Manu""",1
"105","DIAMANTE","DIAMANTE","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6256,-69.2116,4,"""Madre De Dios""","""Tambopata""",1
"106","DIAMANTE","DIAMANTE","FITZCARRALD","FITZCARRALD",TRUE,TRUE,-12.3224,-70.9434,3,"""Madre De Dios""","""Manu""",1
"107","DOS DE MAYO","DOS DE MAYO","INAMBARI","INAMBARI",TRUE,TRUE,-13.0686,-70.3544,3,"""Madre De Dios""","""Tambopata""",1
"108","EL PILAR","EL PILAR","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.5692,-69.2707,4,"""Madre De Dios""","""Tambopata""",1
"109","EL PRADO","EL PRADO","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.5426,-69.1943,4,"""Madre De Dios""","""Tambopata""",1
"110","EL PROGRESO","EL PROGRESO","INAMBARI","INAMBARI",TRUE,TRUE,-12.8696,-69.8465,3,"""Madre De Dios""","""Tambopata""",1
"111","FILADELFIA","FILADELFIA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.0648,-69.3328,4,"""Madre De Dios""","""Tambopata""",1
"112","FITZCARRALD","FITZCARRALD","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6692,-69.3487,4,"""Madre De Dios""","""Tambopata""",1
"113","FLOR DE ACRE","FLOR DE ACRE","IBERIA","IBERIA",TRUE,TRUE,-11.3601,-69.5638,4,"""Madre De Dios""","""Tahuamanu""",1
"114","FLORIDA ALTA","FLORIDA ALTA","LABERINTO","LABERINTO",TRUE,TRUE,-12.7826,-69.6047,4,"""Madre De Dios""","""Tambopata""",1
"115","FLORIDA BAJA","FLORIDA BAJA","LABERINTO","LABERINTO",TRUE,TRUE,-12.7617,-69.5681,3,"""Madre De Dios""","""Tambopata""",1
"116","FORTUNA ALTO LABERINTO","FORTUNA ALTO LABERINTO","LABERINTO","LABERINTO",TRUE,TRUE,-12.7012,-69.6365,3,"""Madre De Dios""","""Tambopata""",1
"117","FRAY MARTIN DE PORRAS","FRAY MARTIN DE PORRAS","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.0236,-69.135,4,"""Madre De Dios""","""Tambopata""",1
"118","GAMITANA","GAMITANA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.4267,-69.0946,3,"""Madre De Dios""","""Tambopata""",1
"119","GAMITANA","GAMITANA","MANU","MANU",TRUE,TRUE,-12.8704,-71.3502,3,"""Madre De Dios""","""Manu""",1
"120","GLORIA","GLORIA","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-13.014,-70.5384,3,"""Madre De Dios""","""Manu""",1
"121","GUACAMAYO","GUACAMAYO","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.597,-70.253,3,"""Madre De Dios""","""Manu""",1
"122","GUADALUPE","GUADALUPE","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-13.0397,-70.5241,3,"""Madre De Dios""","""Manu""",1
"123","HORACIO CEVALLOS","HORACIO CEVALLOS","LABERINTO","LABERINTO",TRUE,TRUE,-12.6786,-69.797,3,"""Madre De Dios""","""Tambopata""",1
"124","HUACAMAYO CHICO","HUACAMAYO CHICO","LABERINTO","LABERINTO",TRUE,TRUE,-12.7645,-69.8015,3,"""Madre De Dios""","""Tambopata""",1
"125","HUANTUPA","HUANTUPA","LABERINTO","LABERINTO",TRUE,TRUE,-12.7853,-69.5938,4,"""Madre De Dios""","""Tambopata""",1
"126","HUITOTO","HUITOTO","LABERINTO","LABERINTO",TRUE,TRUE,-12.5788,-70.0292,4,"""Madre De Dios""","""Tambopata""",1
"127","IBERIA","IBERIA","IBERIA","IBERIA",TRUE,TRUE,-11.35,-69.5833,4,"""Madre De Dios""","""Tahuamanu""",1
"128","INFIERNO","INFIERNO","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.7299,-69.2284,4,"""Madre De Dios""","""Tambopata""",1
"129","ISHIRIWE","ISHIRIWE","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.5614,-70.433,3,"""Madre De Dios""","""Manu""",1
"130","ISLA DE LOS VALLES","ISLA DE LOS VALLES","FITZCARRALD","FITZCARRALD",TRUE,TRUE,-12.2644,-70.9105,3,"""Madre De Dios""","""Manu""",1
"131","ISLA ROLIN","ISLA ROLIN","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.5492,-69.048,4,"""Madre De Dios""","""Tambopata""",1
"132","ITAHUANIA","ITAHUANIA","MANU","MANU",TRUE,TRUE,-12.6313,-71.2282,4,"""Madre De Dios""","""Manu""",1
"133","IZUYAMA","IZUYAMA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6306,-69.1861,4,"""Madre De Dios""","""Tambopata""",1
"134","JAYAVE","JAYAVE","INAMBARI","INAMBARI",TRUE,TRUE,-12.7809,-69.9632,3,"""Madre De Dios""","""Tambopata""",1
"135","JORGE CHAVEZ","JORGE CHAVEZ","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6685,-69.1192,4,"""Madre De Dios""","""Tambopata""",1
"136","JOSE OLAYA","JOSE OLAYA","MANU","MANU",TRUE,TRUE,-12.7025,-71.3637,3,"""Madre De Dios""","""Manu""",1
"137","KIMIRI","KIMIRI","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-13.0955,-70.4271,3,"""Madre De Dios""","""Manu""",1
"138","KOTSIMBA","KOTSIMBA","INAMBARI","INAMBARI",TRUE,TRUE,-13.0899,-70.2419,3,"""Madre De Dios""","""Tambopata""",1
"139","LA DISTANCIA","LA DISTANCIA","INAMBARI","INAMBARI",TRUE,TRUE,-12.8819,-69.766,3,"""Madre De Dios""","""Tambopata""",1
"140","LA FLORIDA","LA FLORIDA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-11.9428,-69.1247,4,"""Madre De Dios""","""Tambopata""",1
"141","LA MERCED","LA MERCED","TAHUAMANU","TAHUAMANU",TRUE,TRUE,-11.3791,-69.3216,4,"""Madre De Dios""","""Tahuamanu""",1
"142","LA NOVIA","LA NOVIA","TAHUAMANU","TAHUAMANU",TRUE,TRUE,-11.7761,-69.305,4,"""Madre De Dios""","""Tahuamanu""",1
"143","LA PASTORA","LA PASTORA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.5774,-69.1907,4,"""Madre De Dios""","""Tambopata""",1
"144","LA REPUBLICA","LA REPUBLICA","IBERIA","IBERIA",TRUE,TRUE,-11.2596,-69.4929,4,"""Madre De Dios""","""Tahuamanu""",1
"145","LA TORRE","LA TORRE","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.8241,-69.3051,4,"""Madre De Dios""","""Tambopata""",1
"146","LAGARTO (BASE NAVAL)","LAGARTO (BASE NAVAL)","LABERINTO","LABERINTO",TRUE,TRUE,-12.6523,-69.8308,3,"""Madre De Dios""","""Tambopata""",1
"147","LAGO INAMBARILLO","LAGO INAMBARILLO","LABERINTO","LABERINTO",TRUE,TRUE,-12.7225,-69.7874,3,"""Madre De Dios""","""Tambopata""",1
"148","LAGO SANDOVAL","LAGO SANDOVAL","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6119,-69.0462,4,"""Madre De Dios""","""Tambopata""",1
"149","LAGO VALENCIA","LAGO VALENCIA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.4087,-68.7597,4,"""Madre De Dios""","""Tambopata""",1
"150","LAS MERCEDES","LAS MERCEDES","LABERINTO","LABERINTO",TRUE,TRUE,-12.7053,-69.4466,4,"""Madre De Dios""","""Tambopata""",1
"151","LAS PIEDRAS (PLANCHON)","LAS PIEDRAS (PLANCHON)","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.28,-69.1524,4,"""Madre De Dios""","""Tambopata""",1
"152","LIBERTAD","LIBERTAD","HUEPETUHE","HUEPETUHE",TRUE,TRUE,-12.9726,-70.6065,3,"""Madre De Dios""","""Manu""",1
"153","LLACTAPAMPA (PALOTOA)","LLACTAPAMPA (PALOTOA)","MANU","MANU",TRUE,TRUE,-12.6829,-71.3704,3,"""Madre De Dios""","""Manu""",1
