,Locality,Place_Name,District,Latitude,Longitude,Accuracy,Admin_Name_1,Admin_Name_2,Admin_Name_3
148,PAMPA HERMOSA,"""Pampa Hermosa""",LAS PIEDRAS,-12.1858,-69.1172,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
149,LOS ANGELES,"""Los Angeles""",LAS PIEDRAS,-12.3637,-69.0958,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
150,SAN ISIDRO,"""San Isidro""",LAS PIEDRAS,-12.5268,-69.1312,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
151,BOTIJON,"""Botijon""",LAS PIEDRAS,-12.274,-69.0941,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
152,FILADELFIA,"""Filadelfia""",LAS PIEDRAS,-12.0648,-69.3328,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
153,AGUAS NEGRAS,"""Aguas Negras""",LAS PIEDRAS,-12.2586,-69.2008,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
154,AGUAJALITO,"""Aguajalito""",LAS PIEDRAS,-12.5316,-69.0819,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
155,LA FLORIDA,"""La Florida""",LAS PIEDRAS,-11.9428,-69.1247,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
156,TORMENTA,"""Tormenta""",LAS PIEDRAS,-12.517,-69.1068,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
157,RAMON GONZALES,"""Ramon Gonzales""",LAS PIEDRAS,-12.5964,-69.1402,3,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
158,PUERTO ROSARIO DE LABERINTO,"""Puerto Rosario de Laberinto""",LABERINTO,-12.7171,-69.5868,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
159,CINCO ISLAS,"""Cinco Islas""",LABERINTO,-12.6523,-69.9639,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
160,LAGARTO (BASE NAVAL),"""Lagarto (Base Naval)""",LABERINTO,-12.6523,-69.8308,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
161,HORACIO CEVALLOS,"""Horacio Cevallos""",LABERINTO,-12.6786,-69.797,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
162,LAGO INAMBARILLO,"""Lago Inambarillo""",LABERINTO,-12.7225,-69.7874,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
163,HUACAMAYO CHICO,"""Huacamayo Chico""",LABERINTO,-12.7645,-69.8015,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
164,AMARACAIRE,"""Amaracaire""",LABERINTO,-12.7248,-69.7452,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
165,BOCA UNION,"""Boca Union""",LABERINTO,-12.7089,-69.6847,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
166,FORTUNA ALTO LABERINTO,"""Fortuna Alto Laberinto""",LABERINTO,-12.7012,-69.6365,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
