DEPARTAMENTO DE MADRE DE DIOS,,,,,,,,,,,
,,,,,,,,,,,
CÓDIGO,CENTROS POBLADOS,"REGIÓN NATURAL (según piso
altitudinal)","ALTITUD
(m s.n.m.)",POBLACIÓN CENSADA,,,VIVIENDAS PARTICULARES,,,District Code,District Name
34,SAN JOSE DE CENTRO PIEDRAS,Omagua,222,2,1,1,4,4,-,170103,LAS PIEDRAS
35,LOBOYOC,Omagua,241,8,6,2,8,8,-,170103,LAS PIEDRAS
36,ALTO LOBOYOC,Omagua,242,3,3,-,11,10,1,170103,LAS PIEDRAS
37,BAJO PIEDRAS,Omagua,233,22,14,8,10,10,-,170103,LAS PIEDRAS
38,PUERTO ARTURO,Omagua,209,49,28,21,28,22,6,170103,LAS PIEDRAS
39,CACHUELA OVIEDO,Omagua,210,11,7,4,10,10,-,170103,LAS PIEDRAS
40,CACHUELA MARGEN IZQUIERDA,Omagua,215,43,17,26,15,15,-,170103,LAS PIEDRAS
41,SANTA TERESA,Omagua,227,90,46,44,67,62,5,170103,LAS PIEDRAS
42,BELLO HORIZONTE,Omagua,254,53,37,16,55,51,4,170103,LAS PIEDRAS
44,MICAELA BASTIDAS,Omagua,171,9,6,3,5,5,-,170103,LAS PIEDRAS
45,MADAMA,Omagua,172,10,7,3,10,10,-,170103,LAS PIEDRAS
46,BAJO MADRE DE DIOS,Omagua,179,30,20,10,20,20,-,170103,LAS PIEDRAS
47,RIMAC O PARQUE EL TRIUNFO-ISLA PERU,Omagua,177,6 381,3 221,3 160,2 293,1 971,322,170103,LAS PIEDRAS
51,CARMEN ROSA,Omagua,305,4,4,-,8,8,-,170103,LAS PIEDRAS
52,PAMPA HERMOSA,Omagua,294,15,9,6,10,10,-,170103,LAS PIEDRAS
53,LOS ANGELES,Omagua,227,1,1,-,2,2,-,170103,LAS PIEDRAS
56,SAN ISIDRO,Omagua,216,4,4,-,5,3,2,170103,LAS PIEDRAS
57,BOTIJON,Omagua,210,4,2,2,6,6,-,170103,LAS PIEDRAS
58,FILADELFIA,Omagua,302,2,1,1,6,6,-,170103,LAS PIEDRAS
