LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2010
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130320 Novo Airão";2;-;-;1;-;1;3;1;1;-;-;-;9
"130330 Novo Aripuanã";-;4;3;1;-;2;1;-;1;-;1;-;13
"130340 Parintins";-;-;-;-;1;-;-;-;1;-;-;-;2
"130350 Pauini";-;-;2;-;3;4;1;3;1;-;1;2;17
"130353 Presidente Figueiredo";42;24;24;32;16;14;7;4;2;6;8;13;192
"130356 Rio Preto da Eva";41;31;14;11;2;6;2;4;2;2;22;20;157
"130360 Santa Isabel do Rio Negro";-;-;-;2;-;-;-;1;2;-;2;-;7
"130380 São Gabriel da Cachoeira";1;2;1;-;-;-;-;2;2;-;-;1;9
"130400 Silves";-;-;-;-;1;-;-;-;-;1;-;-;2
"130406 Tabatinga";-;-;-;-;-;1;1;-;-;-;-;-;2
"130410 Tapauá";-;-;-;-;-;1;5;-;-;-;-;-;6
"130420 Tefé";-;7;7;-;-;-;2;-;1;-;-;-;17
"130426 Uarini";1;-;1;-;-;-;3;-;-;-;-;-;5
"130430 Urucará";-;-;1;-;-;-;-;1;-;-;-;-;2
"130000 Município ignorado - AM";-;-;-;-;-;-;-;-;-;1;-;-;1
"140005 Alto Alegre";-;1;4;1;3;-;-;-;-;1;-;-;10
"140002 Amajari";-;1;-;1;-;-;1;-;1;-;1;-;5
"140010 Boa Vista";1;-;-;-;3;-;-;2;1;-;3;-;10
"140015 Bonfim";1;1;4;1;-;3;-;-;-;-;-;-;10
"140017 Cantá";3;3;11;6;6;5;6;1;1;-;1;3;46
"140020 Caracaraí";6;2;2;3;7;8;10;2;-;4;2;2;48
"140023 Caroebe";31;16;7;11;8;2;-;1;1;-;1;6;84
"140028 Iracema";-;-;4;-;2;2;1;1;1;1;-;1;13
"140030 Mucajaí";3;3;3;2;2;1;1;1;-;-;2;-;18
"140045 Pacaraima";9;9;11;8;2;3;3;1;1;4;2;3;56
"140047 Rorainópolis";41;50;41;26;8;20;23;8;3;4;4;-;228
"140050 São João da Baliza";3;8;5;1;2;2;1;1;-;-;-;1;24
"140060 São Luiz";17;9;8;1;2;1;1;1;-;-;-;-;40
"140070 Uiramutã";1;1;2;3;5;3;3;8;-;1;-;1;28
"150010 Abaetetuba";-;1;-;-;-;1;-;-;-;-;1;-;3
"150013 Abel Figueiredo";-;-;-;-;3;-;-;-;3;2;1;1;10
"150020 Acará";-;-;1;-;-;-;-;-;-;-;-;1;2
"150034 Água Azul do Norte";2;-;-;2;2;-;-;-;1;4;1;4;16
"150040 Alenquer";2;4;-;-;2;1;-;3;1;-;1;-;14
"150050 Almeirim";15;3;4;2;10;8;6;5;4;8;29;18;112
"150060 Altamira";11;4;4;2;4;6;2;5;2;8;10;5;63
"150070 Anajás";-;-;3;2;-;-;-;-;-;-;-;-;5
"150085 Anapu";10;2;4;-;3;2;1;1;-;1;8;4;36
"150090 Augusto Corrêa";-;-;-;-;-;-;-;1;-;1;-;-;2
"150095 Aurora do Pará";-;-;-;-;-;1;1;-;1;-;3;2;8
"150100 Aveiro";-;-;3;1;3;1;1;-;-;-;-;1;10
"150110 Bagre";1;1;-;-;1;1;1;1;1;-;-;-;7
"150120 Baião";1;-;-;-;1;-;-;-;2;4;-;-;8
"150130 Barcarena";-;-;-;-;-;1;-;-;-;-;-;-;1
"150140 Belém";-;-;-;1;-;-;-;-;-;-;-;-;1
"150145 Belterra";2;-;2;-;2;2;3;3;4;8;2;7;35
"150157 Bom Jesus do Tocantins";1;1;-;-;-;-;-;-;1;4;-;-;7
"150170 Bragança";-;1;-;-;-;-;-;1;3;2;1;1;9
"150172 Brasil Novo";3;2;2;-;3;2;2;5;1;2;1;4;27
"150175 Brejo Grande do Araguaia";3;-;-;-;-;-;-;-;-;-;1;1;5
"150178 Breu Branco";1;2;2;1;1;3;3;1;1;7;2;-;24
"150180 Breves";-;-;-;1;-;1;-;-;-;-;-;-;2
"150200 Cachoeira do Arari";-;-;-;-;-;-;-;1;1;-;-;-;2
"150195 Cachoeira do Piriá";2;2;3;4;1;-;-;-;1;-;-;1;14
"150210 Cametá";-;-;-;1;2;-;1;-;-;-;-;-;4
"150215 Canaã dos Carajás";2;-;1;2;-;-;-;-;-;-;-;1;6
"150220 Capanema";1;-;-;-;-;1;-;-;-;-;-;1;3
"150230 Capitão Poço";1;-;1;1;-;-;-;-;-;-;1;-;4
"150240 Castanhal";1;1;2;-;1;1;2;-;3;1;-;1;13
"150270 Conceição do Araguaia";1;-;2;2;-;1;-;1;1;1;4;4;17
"150275 Concórdia do Pará";-;1;-;1;-;-;-;-;-;-;-;-;2
"150276 Cumaru do Norte";4;-;1;3;2;1;1;-;2;-;-;2;16
"150277 Curionópolis";1;-;-;3;-;-;1;2;-;3;1;1;12
"150285 Curuá";-;-;1;-;-;-;-;-;-;-;2;-;3
"150290 Curuçá";-;1;1;-;-;-;-;-;-;-;-;-;2
"150293 Dom Eliseu";3;3;3;3;3;1;4;9;7;9;5;3;53
"150295 Eldorado do Carajás";4;3;3;1;-;-;1;1;2;1;2;1;19
"150300 Faro";-;-;-;-;-;-;-;-;-;1;-;-;1
"150304 Floresta do Araguaia";1;-;-;-;-;1;2;2;-;3;-;1;10
"150307 Garrafão do Norte";2;-;1;-;-;1;-;-;1;-;-;1;6
"150309 Goianésia do Pará";5;3;-;2;2;1;-;1;7;5;10;3;39
"150310 Gurupá";-;-;-;-;-;-;-;1;1;1;1;-;4
"150320 Igarapé-Açu";-;-;-;1;-;-;-;-;-;1;-;-;2
"150330 Igarapé-Miri";1;-;-;-;-;1;-;-;-;-;-;1;3
"150340 Inhangapi";1;1;-;-;-;-;-;-;-;1;1;1;5
"150345 Ipixuna do Pará";2;3;-;1;2;-;-;2;3;5;18;7;43
"150350 Irituia";-;-;-;1;1;2;1;-;-;-;-;1;6
"150360 Itaituba";3;5;3;4;7;7;5;8;4;13;7;5;71
"150370 Itupiranga";1;-;1;2;-;1;1;1;-;6;4;1;18
"150375 Jacareacanga";2;1;-;-;1;-;2;1;-;1;-;1;9
"150380 Jacundá";3;-;1;1;1;1;-;1;-;2;-;-;10
"150390 Juruti";2;-;1;2;-;2;2;-;1;1;-;1;12
"150405 Mãe do Rio";1;-;-;-;-;-;-;-;-;-;-;-;1
"150420 Marabá";3;4;9;3;1;1;6;6;6;6;16;14;75
"150440 Marapanim";-;-;-;-;-;-;-;-;-;1;-;1;2
"150442 Marituba";-;-;-;-;-;-;-;-;-;-;-;1;1
"150445 Medicilândia";20;9;5;7;3;4;2;3;6;8;19;15;101
"150450 Melgaço";-;1;-;-;-;-;-;-;-;-;-;-;1
"150460 Mocajuba";-;-;-;1;-;1;-;1;-;-;-;-;3
"150470 Moju";4;7;4;2;2;6;-;4;5;6;7;3;50
"150480 Monte Alegre";11;6;3;1;-;-;-;2;2;6;10;4;45
"150490 Muaná";1;-;-;1;-;-;-;-;-;-;-;-;2
"150495 Nova Esperança do Piriá";-;-;-;-;-;-;-;-;-;-;1;4;5
"150497 Nova Ipixuna";1;-;-;-;-;-;-;1;2;-;1;-;5
"150503 Novo Progresso";3;3;4;3;6;2;6;13;10;6;5;1;62
"150506 Novo Repartimento";7;5;4;-;5;1;2;5;2;1;14;9;55
"150510 Óbidos";-;-;3;-;-;2;2;1;1;1;3;5;18
"150520 Oeiras do Pará";-;1;-;-;-;-;-;-;-;1;-;-;2
"150530 Oriximiná";9;-;-;1;-;2;2;1;2;1;4;5;27
"150540 Ourém";-;-;-;-;-;-;-;-;1;-;-;-;1
"150543 Ourilândia do Norte";-;2;-;2;-;1;1;-;2;-;-;-;8
"150548 Pacajá";2;3;4;2;2;3;2;3;3;6;6;9;45
"150549 Palestina do Pará";1;1;-;-;-;-;-;-;-;-;-;-;2
"150550 Paragominas";12;7;3;4;9;5;8;8;12;22;20;15;125
"150553 Parauapebas";2;2;2;6;2;4;5;6;6;5;10;9;59
"150555 Pau D'Arco";-;-;-;-;1;-;1;-;1;-;-;-;3
"150563 Piçarra";1;1;-;-;-;-;1;-;2;1;-;-;6
"150565 Placas";4;2;-;6;4;1;1;5;2;6;3;4;38
"150580 Portel";2;6;3;3;3;6;6;5;5;8;4;4;55
"150590 Porto de Moz";4;-;1;-;-;-;1;-;2;-;-;-;8
"150600 Prainha";5;2;6;4;5;2;1;2;4;2;3;3;39
"150613 Redenção";-;-;-;1;-;-;-;3;-;-;1;1;6
